iter	Passed	Remaining
0	0	88
1	1	79
2	2	76
3	3	74
4	4	78
5	5	78
6	6	82
7	7	85
8	8	84
9	9	85
10	10	85
11	11	84
12	12	82
13	13	81
14	13	79
15	14	78
16	16	78
17	17	77
18	18	76
19	19	76
20	20	75
21	20	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	65
30	28	64
31	29	63
32	30	62
33	31	60
34	32	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
